id,name,short_name,year,indicator,numerator,denominator
id_1.6.2,Показатель первичной заболеваемости туберкулезом женского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 жен,2022,4.46,6.0,134628.0
id_1.6.2,Показатель первичной заболеваемости туберкулезом женского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 жен,2023,5.11,7.0,136912.0
id_1.6.2,Показатель первичной заболеваемости туберкулезом женского населения 7-14 лет (на 100 тыс. населения),ПЗ туб 7-14 жен,2024,6.58,9.0,136873.0
id_1.7,Показатель первичной заболеваемости туберкулезом населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17,2016,44.01,33.0,74979.0
id_1.7,Показатель первичной заболеваемости туберкулезом населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17,2017,28.72,22.0,76615.0
id_1.7,Показатель первичной заболеваемости туберкулезом населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17,2018,29.0,23.0,79314.0
id_1.7,Показатель первичной заболеваемости туберкулезом населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17,2019,28.18,23.0,81632.0
id_1.7,Показатель первичной заболеваемости туберкулезом населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17,2020,24.19,20.0,82676.0
id_1.7,Показатель первичной заболеваемости туберкулезом населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17,2021,14.74,12.0,81391.0
id_1.7,Показатель первичной заболеваемости туберкулезом населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17,2022,21.81,18.0,82513.0
id_1.7,Показатель первичной заболеваемости туберкулезом населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17,2023,19.25,17.0,88298.0
id_1.7,Показатель первичной заболеваемости туберкулезом населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17,2024,21.81,20.0,91717.0
id_1.7.1,Показатель первичной заболеваемости туберкулезом мужского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 муж,2016,38.82,15.0,38644.0
id_1.7.1,Показатель первичной заболеваемости туберкулезом мужского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 муж,2017,20.3,8.0,39412.0
id_1.7.1,Показатель первичной заболеваемости туберкулезом мужского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 муж,2018,29.54,12.0,40624.0
id_1.7.1,Показатель первичной заболеваемости туберкулезом мужского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 муж,2019,26.32,11.0,41786.0
id_1.7.1,Показатель первичной заболеваемости туберкулезом мужского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 муж,2020,14.17,6.0,42330.0
id_1.7.1,Показатель первичной заболеваемости туберкулезом мужского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 муж,2021,11.95,5.0,41847.0
id_1.7.1,Показатель первичной заболеваемости туберкулезом мужского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 муж,2022,23.44,10.0,42661.0
id_1.7.1,Показатель первичной заболеваемости туберкулезом мужского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 муж,2023,19.76,9.0,45547.0
id_1.7.1,Показатель первичной заболеваемости туберкулезом мужского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 муж,2024,21.18,10.0,47206.0
id_1.7.2,Показатель первичной заболеваемости туберкулезом женского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 жен,2016,49.54,18.0,36336.0
id_1.7.2,Показатель первичной заболеваемости туберкулезом женского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 жен,2017,37.63,14.0,37204.0
id_1.7.2,Показатель первичной заболеваемости туберкулезом женского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 жен,2018,28.43,11.0,38691.0
id_1.7.2,Показатель первичной заболеваемости туберкулезом женского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 жен,2019,30.12,12.0,39847.0
id_1.7.2,Показатель первичной заболеваемости туберкулезом женского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 жен,2020,34.7,14.0,40346.0
id_1.7.2,Показатель первичной заболеваемости туберкулезом женского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 жен,2021,17.7,7.0,39545.0
id_1.7.2,Показатель первичной заболеваемости туберкулезом женского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 жен,2022,20.07,8.0,39853.0
id_1.7.2,Показатель первичной заболеваемости туберкулезом женского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 жен,2023,18.71,8.0,42751.0
id_1.7.2,Показатель первичной заболеваемости туберкулезом женского населения 15-17 лет (на 100 тыс. населения),ПЗ туб 15-17 жен,2024,22.47,10.0,44511.0
id_1.8,Показатель первичной заболеваемости туберкулезом населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24,2016,77.29,147.0,190183.0
id_1.8,Показатель первичной заболеваемости туберкулезом населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24,2017,73.44,132.0,179732.0
id_1.8,Показатель первичной заболеваемости туберкулезом населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24,2018,59.83,104.0,173837.0
id_1.8,Показатель первичной заболеваемости туберкулезом населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24,2019,53.69,92.0,171343.0
id_1.8,Показатель первичной заболеваемости туберкулезом населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24,2020,39.3,67.0,170497.0
id_1.8,Показатель первичной заболеваемости туберкулезом населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24,2021,36.64,62.0,169214.0
id_1.8,Показатель первичной заболеваемости туберкулезом населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24,2022,28.19,48.0,170290.0
id_1.8,Показатель первичной заболеваемости туберкулезом населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24,2023,30.56,53.0,173439.0
id_1.8,Показатель первичной заболеваемости туберкулезом населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24,2024,22.94,40.0,174343.0
id_1.8.1,Показатель первичной заболеваемости туберкулезом мужского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 муж,2016,87.43,83.0,94937.0
id_1.8.1,Показатель первичной заболеваемости туберкулезом мужского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 муж,2017,90.16,81.0,89836.0
id_1.8.1,Показатель первичной заболеваемости туберкулезом мужского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 муж,2018,76.82,67.0,87221.0
id_1.8.1,Показатель первичной заболеваемости туберкулезом мужского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 муж,2019,60.24,52.0,86326.0
id_1.8.1,Показатель первичной заболеваемости туберкулезом мужского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 муж,2020,35.94,31.0,86258.0
id_1.8.1,Показатель первичной заболеваемости туберкулезом мужского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 муж,2021,37.12,32.0,86206.0
id_1.8.1,Показатель первичной заболеваемости туберкулезом мужского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 муж,2022,32.16,28.0,87068.0
id_1.8.1,Показатель первичной заболеваемости туберкулезом мужского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 муж,2023,30.5,27.0,88519.0
id_1.8.1,Показатель первичной заболеваемости туберкулезом мужского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 муж,2024,20.22,18.0,89016.0
id_1.8.2,Показатель первичной заболеваемости туберкулезом женского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 жен,2016,67.19,64.0,95247.0
id_1.8.2,Показатель первичной заболеваемости туберкулезом женского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 жен,2017,56.73,51.0,89896.0
id_1.8.2,Показатель первичной заболеваемости туберкулезом женского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 жен,2018,42.72,37.0,86617.0
id_1.8.2,Показатель первичной заболеваемости туберкулезом женского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 жен,2019,47.05,40.0,85017.0
id_1.8.2,Показатель первичной заболеваемости туберкулезом женского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 жен,2020,42.74,36.0,84240.0
id_1.8.2,Показатель первичной заболеваемости туберкулезом женского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 жен,2021,36.14,30.0,83008.0
id_1.8.2,Показатель первичной заболеваемости туберкулезом женского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 жен,2022,24.03,20.0,83222.0
id_1.8.2,Показатель первичной заболеваемости туберкулезом женского населения 18-24 года (на 100 тыс. населения),ПЗ туб 18-24 жен,2023,30.62,26.0,84920.0
