payer_id;recency;frequency;monetary;R_Score;F_Score;M_Score;RFM_segment;Segment_Name
PID_033da1f6c3fc;55;1;200.0;1;1;1;111;Ушедшие новички
PID_033e453bc827;76;3;295.0;1;2;1;121;Ушедшие экономные
PID_0341b3001829;53;4;400.0;1;2;1;121;Ушедшие экономные
PID_034312106d10;1;3;252.0;3;2;1;321;Потенциальное ядро
PID_034447c4a3be;5;22;6600.0;3;3;3;333;VIP / Супер-ядро
PID_034f6338197c;58;2;200.0;1;1;1;111;Ушедшие новички
PID_0350b3ea76ce;38;18;1800.0;2;3;2;232;Засыпающее ядро
PID_035169e367ed;0;2;2000.0;3;1;2;312;Перспективные новички
PID_03564b684e48;0;14;7000.0;3;3;3;333;VIP / Супер-ядро
PID_0356645e128e;50;6;200.0;2;2;1;221;Требуют внимания
PID_03599d03f95f;0;12;1200.0;3;3;2;332;Лояльное ядро
PID_035ad0002138;54;1;100.0;1;1;1;111;Ушедшие новички
PID_0364665ce0e0;56;1;200.0;1;1;1;111;Ушедшие новички
PID_0366d0880f0f;53;5;800.0;1;2;2;122;Потерянные VIP
PID_03676ed9e655;18;1;200.0;2;1;1;211;Остывающие новички
PID_036a84fc11bc;32;7;3500.0;2;2;3;223;Требуют внимания
PID_036e1c88c3a5;1;35;35000.0;3;3;3;333;VIP / Супер-ядро
PID_036e809d7a2f;69;1;200.0;1;1;1;111;Ушедшие новички
PID_036ffefdb9d4;0;30;3000.0;3;3;3;333;VIP / Супер-ядро
PID_037272e0232d;74;6;2280.0;1;2;3;123;Потерянные VIP
PID_03764d685e25;70;1;200.0;1;1;1;111;Ушедшие новички
PID_037656f5fbb7;54;4;800.0;1;2;2;122;Потерянные VIP
PID_0378cb1b74a6;54;1;100.0;1;1;1;111;Ушедшие новички
PID_037a048f3870;54;1;100.0;1;1;1;111;Ушедшие новички
PID_037b7c51dba8;51;1;100.0;2;1;1;211;Остывающие новички
PID_037fabdd5e11;52;1;100.0;1;1;1;111;Ушедшие новички
PID_03875202fe8b;50;8;4000.0;2;2;3;223;Требуют внимания
PID_038cbad009f4;50;6;420.0;2;2;1;221;Требуют внимания
PID_03997a6be7d7;63;8;800.0;1;2;2;122;Потерянные VIP
PID_0399a9324bdf;65;1;500.0;1;1;1;111;Ушедшие новички
PID_039b7783efc1;1;7;3500.0;3;2;3;323;Потенциальное ядро
PID_039e923bd2d5;85;1;100.0;1;1;1;111;Ушедшие новички
PID_039faa3210ed;52;3;600.0;1;2;2;122;Потерянные VIP
PID_03a4a97efb71;3;19;3800.0;3;3;3;333;VIP / Супер-ядро
PID_03abaf6f8a66;84;2;400.0;1;1;1;111;Ушедшие новички
PID_03ace67ae5c6;20;2;400.0;2;1;1;211;Остывающие новички
PID_03b03a25165a;15;38;3800.0;3;3;3;333;VIP / Супер-ядро
PID_03b207a3e68f;33;9;900.0;2;2;2;222;Требуют внимания
PID_03b5c2c72de4;20;7;3500.0;2;2;3;223;Требуют внимания
PID_03b9885b6308;2;23;4600.0;3;3;3;333;VIP / Супер-ядро
PID_03bb87519fee;52;4;400.0;1;2;1;121;Ушедшие экономные
PID_03bdf69664fb;35;25;2500.0;2;3;3;233;Засыпающие VIP
PID_03c3807d712b;49;12;2400.0;2;3;3;233;Засыпающие VIP
PID_03c95cc1e599;1;38;15100.0;3;3;3;333;VIP / Супер-ядро
PID_03cc1f3983c2;0;61;20800.0;3;3;3;333;VIP / Супер-ядро
PID_03cd3e3f9225;66;1;100.0;1;1;1;111;Ушедшие новички
PID_03ce15593db3;57;7;1400.0;1;2;2;122;Потерянные VIP
PID_03cfe0961972;28;4;2000.0;2;2;2;222;Требуют внимания
PID_03d5e51689b0;51;9;1800.0;2;2;2;222;Требуют внимания
PID_03d66d179dc2;59;1;100.0;1;1;1;111;Ушедшие новички
PID_03dae23c5924;1;13;6500.0;3;3;3;333;VIP / Супер-ядро
PID_03dc0cb3fd6d;38;33;5000.0;2;3;3;233;Засыпающие VIP
PID_03e1f771b86c;0;13;13000.0;3;3;3;333;VIP / Супер-ядро
PID_03e5707fb31f;42;1;100.0;2;1;1;211;Остывающие новички
PID_03e5dfaaea55;77;2;600.0;1;1;2;112;Ушедшие новички
PID_03e7b14a3953;25;24;4800.0;2;3;3;233;Засыпающие VIP
PID_03f2af459843;83;1;200.0;1;1;1;111;Ушедшие новички
PID_03f674dcc7d9;12;17;1700.0;3;3;2;332;Лояльное ядро
PID_03fc9405de5c;58;1;200.0;1;1;1;111;Ушедшие новички
PID_04004a241635;50;3;300.0;2;2;1;221;Требуют внимания
PID_04033e351812;85;1;1000.0;1;1;2;112;Ушедшие новички
PID_04041434ebd7;35;6;800.0;2;2;2;222;Требуют внимания
PID_0409e709c794;60;21;3100.0;1;3;3;133;Потерянные VIP
PID_041393127059;10;14;7000.0;3;3;3;333;VIP / Супер-ядро
PID_0414b2ad9a9a;23;19;9500.0;2;3;3;233;Засыпающие VIP
PID_04172adac904;27;2;400.0;2;1;1;211;Остывающие новички
PID_04198b0c51b4;21;10;5000.0;2;3;3;233;Засыпающие VIP
PID_041f36f22998;60;1;100.0;1;1;1;111;Ушедшие новички
PID_041f64b39e5a;14;4;1700.0;3;2;2;322;Потенциальное ядро
