payer_id;amount;share;cum_share;abc_class
PID_a4e01dbae8fd;26000.0;0.00035157415995490214;0.23037570230782123;A
PID_1e7ae383c5b0;26000.0;0.00035157415995490214;0.23072727646777613;A
PID_f34ac04a61c6;26000.0;0.00035157415995490214;0.23107885062773104;A
PID_ac4e8e6fbe85;26000.0;0.00035157415995490214;0.23143042478768594;A
PID_027e1a1699b6;26000.0;0.00035157415995490214;0.23178199894764084;A
PID_dee9addbbfa4;26000.0;0.00035157415995490214;0.23213357310759575;A
PID_a74a500bcedc;26000.0;0.00035157415995490214;0.23248514726755065;A
PID_cab7a1e83ffa;26000.0;0.00035157415995490214;0.23283672142750556;A
PID_7a203a03f6e9;26000.0;0.00035157415995490214;0.23318829558746046;A
PID_caeffa451a91;26000.0;0.00035157415995490214;0.23353986974741536;A
PID_f4e8066bd468;26000.0;0.00035157415995490214;0.23389144390737027;A
PID_0e6c00666775;26000.0;0.00035157415995490214;0.23424301806732517;A
PID_4310755c99c5;26000.0;0.00035157415995490214;0.23459459222728007;A
PID_5c7ede27757b;26000.0;0.00035157415995490214;0.23494616638723498;A
PID_5be06a68385e;26000.0;0.00035157415995490214;0.23529774054718988;A
PID_f1b811575dd7;26000.0;0.00035157415995490214;0.23564931470714479;A
PID_09c37c0ba383;25800.0;0.0003488697433398644;0.23599818445048465;A
PID_cc1159978f54;25800.0;0.0003488697433398644;0.2363470541938245;A
PID_ae44f6c3e132;25600.0;0.0003461653267248267;0.23669321952054934;A
PID_10f8a5d85049;25500.0;0.0003448131184173078;0.23703803263896664;A
PID_9cb58163ae1a;25500.0;0.0003448131184173078;0.23738284575738394;A
PID_b60ec9c68ee4;25500.0;0.0003448131184173078;0.23772765887580125;A
PID_b42d399cf8c7;25500.0;0.0003448131184173078;0.23807247199421855;A
PID_e4fb45b67ab3;25500.0;0.0003448131184173078;0.23841728511263585;A
PID_492b56d31f5e;25500.0;0.0003448131184173078;0.23876209823105315;A
